ParticipantID,Puzzle,Xpos,Ypos,Zpos,Xrot,Yrot,Zrot,Xscale,Yscale,Zscale
-01,1,2.661666,1.676193,4.892216,0,0,0.8660254,0.4158002,0.4158002,0.01

-01,2,2.065825,1.392484,4.892383,0,0,0.9063078,0.3234001,0.3234001,0.01

-01,3,1.752084,1.383602,4.892508,0,0,0.7933533,0.4157999,0.4157999,0.01

-01,4,1.958304,2.282409,4.892688,0,0,0.9537169,0.5543998,0.5543998,0.01

-01,5,1.868957,1.812222,4.892917,0,0,0.3826835,0.5544,0.5544,0.01

-01,6,2.520257,1.428964,4.893306,0,0,0.9961947,0.5544001,0.5544001,0.01

-01,7,2.735068,2.252613,4.893591,0,0,0.5000001,0.3234,0.3234,0.01

-01,8,1.645185,2.638398,4.893682,0,0,0.7071068,0.5082002,0.5082002,0.01

-01,9,2.484007,1.594652,4.893801,0,0,0.7933533,0.6468,0.6468,0.01

-01,10,2.459066,2.500163,4.894588,0,0,0.976296,0.5082001,0.5082001,0.01

-01,11,2.51296,2.348814,4.894992,0,0,0.6427876,0.4620001,0.4620001,0.01

-01,12,2.149782,1.57014,4.895938,0,0,0.8433915,0.462,0.462,0.01

-01,13,1.745537,1.583204,4.896498,0,0,0.5000001,0.462,0.462,0.01

-01,14,1.899129,1.4587
